LETO,JAN,FEB,MAR,APR,MAJ,JUN,JUL,AVG,SEP,OKT,NOV,DEC,SKUPAJ
1991,65,51,58,41,172,122,94,89,66,167,248,9,1182
1992,35,32,131,107,42,111,83,46,115,505,109,117,1433
1993,2,6,34,78,72,102,101,103,177,237,158,106,1176
1994,81,40,22,132,153,143,77,198,128,271,74,88,1407
1995,61,184,151,35,103,181,39,210,251,17,48,144,1424
1996,89,95,12,126,121,138,141,118,142,180,204,82,1448
1997,104,27,25,64,94,169,103,115,88,53,212,177,1231
1998,27,3,48,180,43,52,232,146,173,241,166,49,1360
1999,58,117,82,164,136,161,204,121,74,87,108,189,1501
2000,4,35,115,64,93,104,158,34,125,175,312,145,1364
2001,159,16,200,89,134,147,48,33,305,68,82,49,1330
2002,20,68,44,130,91,176,127,187,88,188,119,51,1289
2003,85,50,3,81,66,63,120,73,133,178,131,107,1090
2004,115,109,89,171,110,172,126,164,118,287,88,148,1697
2005,3,44,46,119,97,84,142,264,294,54,159,96,1402
2006,47,47,129,121,177,46,105,225,108,19,58,59,1141
